dep_var,ind_var,group,RRR,RRR.LCI,RRR.UCI,p,Evalue
dv_sr_sleep_abn_cat,d119,Long,1.798432178811,0.526243095958123,6.14612966255479,0.349475843693706,1
dv_sr_sleep_abn_cat,d119,Short,1.89115615955852,1.18047303213575,3.02969362490685,0.0083453208729226,1.64203943847835
dv_sd_sleep_abn_cat,d119,Long,1.54301710436605,0.70800988965152,3.36280865446394,0.275522557477791,1
dv_sd_sleep_abn_cat,d119,Short,1.54694245803012,0.847060418389613,2.82510068526845,0.156585985970382,1
dv_pal_sleep_abn_cat,d119,Long,0.853550989594302,0.568321674384959,1.28193121021797,0.445887486449271,1
dv_pal_sleep_abn_cat,d119,Short,0.878202920069749,0.472683562396374,1.63162087741968,0.681318062520846,1
dv_vdb_sleep_abn_cat,d119,Long,1.25037884884744,0.770442311519287,2.02928531087809,0.366527072188636,1
dv_vdb_sleep_abn_cat,d119,Short,1.36289698309603,0.564787762442571,3.28882513052174,0.491216073182632,1
dv_winkler_sleep_abn_cat,d119,Long,1.1715650136001,0.572013034255066,2.39953374992457,0.665223203711691,1
dv_winkler_sleep_abn_cat,d119,Short,2.35208664160414,1.38489771250443,3.99474381368431,0.00173381867362208,2.11499630967853
