AgencySerial,action
110606,R
111605,R
111708,R
114602,R
115816,R
116406,R
118305,R
118504,N
119815,R
226507,R
226615,M
228505,R
229402,R
231107,R
332408,R
333409,R
333412,R
334304,R
335305,R
335519,R
335608,R
336102,R
336918,R
337911,R
339108,R
339401,R
341005,M
341409,R
341808,R
343108,R
443809,R
445103,R
445306,R
445903,R
446609,R
447415,R
447612,R
448203,N
448411,R
448606,R
449111,R
449506,R
450010,R
450017,R
451205,R
451307,R
451404,R
451810,R
452810,R
454114,R
554312,R
554902,R
556015,R
556706,R
557709,R
559211,R
559705,M
561005,R
562210,R
665509,R
667916,R
668306,R
669312,R
670908,R
671102,R
671204,R
672406,R
672608,R
672802,R
673011,R
673104,R
673209,R
673912,R
776008,R
777316,R
777712,R
778611,R
780813,R
781411,R
781801,R
884409,R
884416,R
884505,R
886013,R
886301,R
886803,R
